timestamp_ms,currency,ta_signal,signal
1775023199999,SOL,0,HOLD
1775026799999,SOL,0,HOLD
1775030399999,SOL,0,HOLD
1775033999999,SOL,0,HOLD
1775037599999,SOL,0,HOLD
1775041199999,SOL,0,HOLD
1775044799999,SOL,0,HOLD
1775048399999,SOL,-1,SELL
1775051999999,SOL,-1,SELL
1775055599999,SOL,-1,SELL
1775059199999,SOL,-1,SELL
1775062799999,SOL,0,HOLD
1775066399999,SOL,0,HOLD
1775069999999,SOL,0,HOLD
1775073599999,SOL,0,HOLD
1775077199999,SOL,-1,SELL
1775080799999,SOL,-1,SELL
1775084399999,SOL,-1,SELL
1775087999999,SOL,-1,SELL
1775091599999,SOL,-1,SELL
1775095199999,SOL,-1,SELL
1775098799999,SOL,-1,SELL
1775102399999,SOL,-1,SELL
1775105999999,SOL,-1,SELL
1775109599999,SOL,-1,SELL
1775113199999,SOL,-1,SELL
1775116799999,SOL,-1,SELL
1775120399999,SOL,-1,SELL
1775123999999,SOL,-1,SELL
1775127599999,SOL,-1,SELL
1775131199999,SOL,-1,SELL
1775134799999,SOL,-1,SELL
1775138399999,SOL,-1,SELL
1775141999999,SOL,-1,SELL
1775145599999,SOL,0,HOLD
1775149199999,SOL,0,HOLD
1775152799999,SOL,0,HOLD
1775156399999,SOL,0,HOLD
1775159999999,SOL,0,HOLD
1775163599999,SOL,0,HOLD
1775167199999,SOL,0,HOLD
1775170799999,SOL,0,HOLD
1775174399999,SOL,0,HOLD
1775177999999,SOL,0,HOLD
1775181599999,SOL,0,HOLD
1775185199999,SOL,0,HOLD
1775188799999,SOL,0,HOLD
1775192399999,SOL,0,HOLD
1775195999999,SOL,0,HOLD
1775199599999,SOL,0,HOLD
1775203199999,SOL,0,HOLD
1775206799999,SOL,0,HOLD
1775210399999,SOL,0,HOLD
1775213999999,SOL,0,HOLD
1775217599999,SOL,0,HOLD
1775221199999,SOL,0,HOLD
1775224799999,SOL,0,HOLD
1775228399999,SOL,0,HOLD
1775231999999,SOL,0,HOLD
1775235599999,SOL,0,HOLD
1775239199999,SOL,0,HOLD
1775242799999,SOL,0,HOLD
1775246399999,SOL,0,HOLD
1775249999999,SOL,0,HOLD
1775253599999,SOL,0,HOLD
1775257199999,SOL,0,HOLD
1775260799999,SOL,0,HOLD
1775264399999,SOL,0,HOLD
1775267999999,SOL,0,HOLD
1775271599999,SOL,0,HOLD
1775275199999,SOL,-1,SELL
1775278799999,SOL,-1,SELL
1775282399999,SOL,-1,SELL
1775285999999,SOL,-1,SELL
1775289599999,SOL,-1,SELL
1775293199999,SOL,-1,SELL
1775296799999,SOL,-1,SELL
1775300399999,SOL,-1,SELL
1775303999999,SOL,-1,SELL
1775307599999,SOL,-1,SELL
1775311199999,SOL,-1,SELL
1775314799999,SOL,-1,SELL
1775318399999,SOL,0,HOLD
1775321999999,SOL,0,HOLD
1775325599999,SOL,0,HOLD
1775329199999,SOL,0,HOLD
1775332799999,SOL,0,HOLD
1775336399999,SOL,0,HOLD
1775339999999,SOL,0,HOLD
1775343599999,SOL,0,HOLD
1775347199999,SOL,0,HOLD
1775350799999,SOL,0,HOLD
1775354399999,SOL,-1,SELL
1775357999999,SOL,-1,SELL
1775361599999,SOL,-1,SELL
1775365199999,SOL,-1,SELL
1775368799999,SOL,-1,SELL
1775372399999,SOL,-1,SELL
1775375999999,SOL,-1,SELL
1775379599999,SOL,-1,SELL
1775383199999,SOL,-1,SELL
1775386799999,SOL,-1,SELL
1775390399999,SOL,-1,SELL
1775393999999,SOL,-1,SELL
1775397599999,SOL,-1,SELL
1775401199999,SOL,-1,SELL
1775404799999,SOL,-1,SELL
1775408399999,SOL,-1,SELL
1775411999999,SOL,-1,SELL
1775415599999,SOL,0,HOLD
1775419199999,SOL,0,HOLD
1775422799999,SOL,0,HOLD
1775426399999,SOL,0,HOLD
