Open_Time_ms,Open,High,Low,Close,Volume,Close_Time_ms,Quote_Asset_Volume,Number_of_Trades,Taker_Buy_Base_Asset_Volume,Taker_Buy_Quote_Asset_Volume
1773752400000,93.41,94.56,93.35,93.8,149522.224,1773755999999,14038649.80352,70386,73385.916,6890748.53961
1773756000000,93.8,94.68,93.5,94.5,123788.354,1773759599999,11664576.16572,73603,68434.677,6449982.55773
1773759600000,94.5,95.13,93.25,93.82,167269.698,1773763199999,15737744.16964,88599,80818.038,7609047.22534
1773763200000,93.82,94.79,93.72,94.39,111228.548,1773766799999,10495998.27002,51160,52552.779,4959202.00532
1773766800000,94.39,94.72,94.15,94.57,73681.594,1773770399999,6961459.28866,33456,36016.875,3402696.77199
1773770400000,94.57,95.59,94.45,95.32,111610.271,1773773999999,10619304.8466,45144,62059.556,5904685.31927
1773774000000,95.33,95.57,94.61,94.67,99645.456,1773777599999,9472905.79182,43014,47558.334,4521395.65658
1773777600000,94.66,95.03,94.41,94.9,57213.595,1773781199999,5419524.98998,21743,31735.549,3006676.19348
1773781200000,94.89,95.46,94.84,95.26,47584.894,1773784799999,4529952.08296,27853,23195.065,2208316.27635
1773784800000,95.27,95.62,94.59,95.33,114073.088,1773788399999,10859967.69061,37928,53107.639,5058127.60287
1773788400000,95.32,95.44,94.58,94.62,66781.015,1773791999999,6338801.04295,25091,22037.583,2092629.73055
1773792000000,94.61,94.93,94.1,94.53,83553.595,1773795599999,7894261.27951,37480,44389.601,4196551.76389
1773795600000,94.54,94.93,94.32,94.43,53801.001,1773799199999,5094176.77116,31100,25057.795,2373238.70055
1773799200000,94.43,95.23,94.41,94.94,60158.536,1773802799999,5708024.43101,31628,33131.663,3143983.28969
1773802800000,94.94,95.65,94.82,95.05,57186.508,1773806399999,5446852.83082,24090,34227.965,3261714.20013
1773806400000,95.06,95.12,94.0,94.13,122330.349,1773809999999,11546361.72837,34310,43807.063,4132157.1711
1773810000000,94.13,94.39,93.72,93.92,94114.902,1773813599999,8853976.60248,36026,48215.217,4537296.60063
1773813600000,93.92,94.64,93.92,94.21,32296.467,1773817199999,3045392.15349,19372,17167.531,1618551.62321
1773817200000,94.22,94.3,93.83,93.95,77208.886,1773820799999,7259814.07988,19810,38492.422,3619109.00036
1773820800000,93.95,94.26,93.94,94.04,143876.437,1773824399999,13543548.19812,29956,40985.528,3857938.22077
1773824400000,94.04,94.44,93.95,94.28,41873.834,1773827999999,3946962.68958,23870,25398.664,2394163.86257
1773828000000,94.28,94.43,93.51,93.86,61539.605,1773831599999,5778370.05492,28734,24537.371,2304876.17508
1773831600000,93.85,94.08,91.82,92.0,398489.14,1773835199999,36827018.55449,131847,202414.819,18698511.48515
1773835200000,92.0,92.03,90.31,90.43,329039.565,1773838799999,29968920.16499,113491,128985.149,11746373.17829
1773838800000,90.43,90.75,89.9,90.32,224420.912,1773842399999,20278376.34926,115211,109987.485,9942846.78918
1773842400000,90.32,90.4,88.85,88.96,316126.804,1773845999999,28311031.56601,117941,151380.814,13555228.2975
1773846000000,88.95,89.49,88.55,89.37,252007.921,1773849599999,22450379.20614,75790,137594.411,12265069.07578
1773849600000,89.36,89.36,88.61,88.97,152656.968,1773853199999,13583606.4077,58453,58827.16,5234068.0162
1773853200000,88.97,90.36,88.83,89.94,223980.805,1773856799999,20129657.52917,66890,114073.837,10241762.029
1773856800000,89.94,90.86,89.38,89.58,185763.514,1773860399999,16768706.43413,110198,100367.923,9063598.18117
1773860400000,89.58,90.07,89.44,89.71,72107.455,1773863999999,6472226.55264,40377,41965.723,3767190.77726
1773864000000,89.7,90.13,88.99,89.99,109988.962,1773867599999,9849039.97886,36812,68758.076,6160986.41523
1773867600000,89.99,90.62,89.94,90.47,62582.031,1773871199999,5653688.94175,24731,36083.112,3259647.00447
1773871200000,90.46,90.48,89.92,90.02,90116.209,1773874799999,8131483.88107,23707,50246.409,4534959.32873
1773874800000,90.02,90.16,89.69,90.08,48641.152,1773878399999,4375528.99971,21020,29282.155,2634203.89027
1773878400000,90.07,90.3,89.82,90.11,46120.613,1773881999999,4153804.34476,22925,25552.49,2301559.25962
1773882000000,90.11,90.38,89.92,90.19,48869.649,1773885599999,4407755.65659,21405,25059.791,2260979.20479
1773885600000,90.18,90.39,89.79,89.99,37552.218,1773889199999,3385948.75094,22157,18359.909,1655876.29353
1773889200000,89.99,91.41,89.92,90.74,139276.39,1773892799999,12660021.14592,44681,82582.21,7506760.8637
1773892800000,90.74,90.74,89.75,89.91,110340.258,1773896399999,9946675.68229,35494,45410.133,4093238.85516
1773896400000,89.91,90.11,89.66,89.76,59591.973,1773899999999,5358349.33814,21713,33848.285,3044440.88805
1773900000000,89.77,90.12,89.52,89.86,75452.788,1773903599999,6782165.53504,30950,31998.883,2877296.88845
1773903600000,89.87,90.05,88.63,89.42,202158.079,1773907199999,18066041.26077,64502,81477.735,7285941.28577
1773907200000,89.41,89.64,89.09,89.34,75679.599,1773910799999,6763242.25757,38120,38349.401,3427935.24774
1773910800000,89.35,90.39,89.17,90.2,143688.439,1773914399999,12905792.81643,45531,87690.2,7879029.28223
1773914400000,90.19,90.48,89.78,89.81,76729.913,1773917999999,6915974.758,23780,42975.504,3874037.41555
1773918000000,89.81,90.03,89.47,89.62,52020.688,1773921599999,4669510.22847,20708,25878.544,2323537.34187
1773921600000,89.62,89.62,88.03,88.11,163403.702,1773925199999,14521520.38356,49219,57813.456,5133772.52525
1773925200000,88.11,88.74,87.55,88.52,300882.59,1773928799999,26499266.59475,110961,146009.538,12864563.66492
1773928800000,88.52,88.9,87.45,88.23,135406.721,1773932399999,11919246.37966,69140,74488.617,6558540.61492
1773932400000,88.23,88.76,87.15,87.63,169527.342,1773935999999,14892721.78838,64987,93466.244,8214067.36603
1773936000000,87.63,87.8,87.0,87.69,152916.464,1773939599999,13364434.87183,54091,84537.889,7389038.49426
1773939600000,87.68,88.35,87.07,88.14,125746.156,1773943199999,11027522.71552,42260,68457.406,6004919.88365
1773943200000,88.13,88.32,87.66,88.13,71688.212,1773946799999,6304260.69408,24691,37403.443,3289611.92287
