Open_Time_ms,Open,High,Low,Close,Volume,Close_Time_ms,Quote_Asset_Volume,Number_of_Trades,Taker_Buy_Base_Asset_Volume,Taker_Buy_Quote_Asset_Volume
1774839600000,2029.93,2042.07,2027.5,2035.88,9341.4332,1774843199999,19001321.777358,135588,5326.9147,10834437.417512
1774843200000,2035.88,2053.0,2035.88,2048.39,12455.1914,1774846799999,25484509.477411,139378,7339.5468,15018216.945528
1774846800000,2048.39,2058.96,2045.14,2047.84,16018.9397,1774850399999,32884003.799254,132660,7224.0409,14833877.531624
1774850400000,2047.84,2052.0,2041.19,2042.46,8504.2301,1774853999999,17403235.179034,97366,3794.0825,7764858.700727
1774854000000,2042.46,2068.28,2041.54,2059.58,15282.5522,1774857599999,31409428.054472,102512,8432.7879,17336837.724932
1774857600000,2059.58,2075.0,2058.15,2062.33,16805.7939,1774861199999,34695210.07647,147125,9256.4096,19109453.023292
1774861200000,2062.32,2063.13,2053.87,2055.16,7642.1111,1774864799999,15726271.053123,83500,3026.3201,6227812.668175
1774864800000,2055.16,2058.3,2048.14,2057.78,6886.6689,1774868399999,14144130.039944,81869,3732.8427,7667484.594027
1774868400000,2057.78,2081.65,2057.78,2071.28,19292.8948,1774871999999,39927725.098366,198605,10067.2758,20837614.416306
1774872000000,2071.29,2078.89,2069.07,2074.54,8194.5125,1774875599999,16992803.959024,129190,4244.0687,8802070.148396
1774875600000,2074.54,2085.0,2058.17,2060.92,19118.9469,1774879199999,39622026.840862,231610,9665.0219,20045090.142076
1774879200000,2060.93,2076.16,2044.25,2071.64,27666.5752,1774882799999,56933553.036083,321265,13634.4151,28083001.643112
1774882800000,2071.65,2079.92,2061.91,2074.53,15215.1476,1774886399999,31527560.191209,214662,6827.1253,14147591.433606
1774886400000,2074.53,2074.99,2058.95,2066.18,10790.1379,1774889999999,22289102.379655,149549,4569.453,9437142.853245
1774890000000,2066.18,2072.18,2032.0,2041.8,21395.3507,1774893599999,43805713.583564,218391,10062.6667,20588382.570548
1774893600000,2041.79,2044.11,2028.04,2032.61,13461.8263,1774897199999,27408091.018928,137474,6898.3237,14046977.534352
1774897200000,2032.6,2032.65,2013.33,2023.7,14591.0916,1774900799999,29477652.125244,191046,6876.5666,13893581.548101
1774900800000,2023.7,2027.78,2021.14,2023.2,5851.3163,1774904399999,11844378.879187,76438,2820.525,5709500.416163
1774904400000,2023.19,2049.1,2021.16,2036.0,14400.4068,1774907999999,29360925.561197,141542,8044.5509,16398507.559411
1774908000000,2036.0,2044.22,2029.51,2033.08,5673.4119,1774911599999,11551137.498178,92601,3056.809,6225274.87608
